candidate_id,setup_label,group,width_atr_timeframe,rail,current_width,recent_width,recent_delta,width_lookback,trades,pnl,profit_factor,win_rate_pct,max_drawdown_pct,sharpe,long_trades,long_pnl,long_profit_factor,long_win_rate_pct,short_trades,short_pnl,short_profit_factor,short_win_rate_pct,pf_symmetry_gap,min_side_pf,both_sides_pf_gt_1,phase2e_acceptance,strict_symmetric_acceptance,fees_paid,stop_loss_after_bad_context,stop_loss_after_low_mfe,high_mfe_high_capture_count,high_mfe_low_capture_count,main_score,run_id,report_path
phase2e_focused_1h_semantic_primary_215_w2p1_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.1/r2.75/lb35,focused_1h,1h,2.15,2.1,2.75,0.65,35,167,3852.5471365156627,1.2216747020442422,57.48502994011976,-17.730989797441055,0.5091348684597309,112,2032.811952234438,1.1742998825532802,57.14285714285714,55,1819.735184281225,1.318327249094502,58.18181818181818,0.14402736654122172,1.1742998825532802,True,True,True,1701.5551542472494,71,29,45,6,57.53637058755082,2026-06-16T194149Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p1_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,research/results/runs/2026-06-16T194149Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p1_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04.json
phase2e_focused_1h_semantic_upper_235_w2p3_r2p75_lb50_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.3/r2.75/lb50,focused_1h,1h,2.35,2.3,2.75,0.45,50,167,4700.488391124096,1.2356436723699793,58.08383233532935,-19.09463507297583,0.5407781045754378,113,2422.57575129568,1.1844506485193669,57.52212389380531,54,2277.912639828415,1.3343265369412785,59.25925925925925,0.14987588842191157,1.1844506485193669,True,True,False,1746.0154390934504,70,26,54,8,54.51381157929762,2026-06-16T203307Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p3_r2p75_lb50_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T203307Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p3_r2p75_lb50_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_focused_1h_semantic_upper_235_w2p2_r2p75_lb50_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.2/r2.75/lb50,focused_1h,1h,2.35,2.2,2.75,0.55,50,169,4836.804158517224,1.2366132932436527,57.98816568047337,-19.09463507297583,0.5484184819655241,113,2368.7888730206023,1.1790330930435882,57.52212389380531,56,2468.0152854966223,1.3422665266101461,58.92857142857143,0.16323343356655795,1.1790330930435882,True,True,False,1777.273434414124,71,27,55,8,53.316213892338524,2026-06-16T202050Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p2_r2p75_lb50_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T202050Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p2_r2p75_lb50_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_focused_1h_semantic_primary_215_w2p3_r2p75_lb50_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.3/r2.75/lb50,focused_1h,1h,2.15,2.3,2.75,0.45,50,168,3332.2548735986484,1.1834748238765296,57.14285714285714,-18.79479621861735,0.4396600927316881,113,1600.9585627219462,1.133718798683615,56.63716814159292,55,1731.2963108767024,1.27972217873089,58.18181818181818,0.14600338004727487,1.133718798683615,True,True,True,1697.4275448108242,72,30,45,7,52.640240430200876,2026-06-16T195754Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p3_r2p75_lb50_sym_1hatr_sl2p15_tp2p15_fee04,research/results/runs/2026-06-16T195754Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p3_r2p75_lb50_sym_1hatr_sl2p15_tp2p15_fee04.json
phase2e_focused_1h_semantic_primary_215_w2p2_r2p75_lb50_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.2/r2.75/lb50,focused_1h,1h,2.15,2.2,2.75,0.55,50,170,3444.4520266287627,1.185389535449415,57.05882352941176,-18.79479621861735,0.44777556563115944,113,1555.7316277115672,1.1290937776747079,56.63716814159292,57,1888.7203989171956,1.2893099012164895,57.89473684210527,0.1602161235417816,1.1290937776747079,True,True,True,1725.86813851412,73,31,46,7,51.36892826923596,2026-06-16T194727Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p2_r2p75_lb50_sym_1hatr_sl2p15_tp2p15_fee04,research/results/runs/2026-06-16T194727Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p2_r2p75_lb50_sym_1hatr_sl2p15_tp2p15_fee04.json
phase2e_focused_1h_semantic_upper_235_w2p25_r2p75_lb50_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.25/r2.75/lb50,focused_1h,1h,2.35,2.25,2.75,0.5,50,168,5227.666940875591,1.260056610307592,58.333333333333336,-19.09463507297583,0.581569695649149,113,2365.9931854975393,1.1785853430411568,57.52212389380531,55,2861.6737553780517,1.4175489437437683,60.0,0.23896360070261147,1.1785853430411568,True,True,False,1769.3641093514955,70,26,55,8,51.27207984755366,2026-06-16T202623Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p25_r2p75_lb50_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T202623Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p25_r2p75_lb50_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_focused_1h_semantic_primary_215_w2p3_r2p65_lb20_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.3/r2.65/lb20,focused_1h,1h,2.15,2.3,2.65,0.35,20,171,3989.5764521657325,1.2388220688304687,57.89473684210527,-17.888581395087577,0.528037352012384,115,1722.5752006572054,1.1482368118630093,57.391304347826086,56,2267.0012515085273,1.4458390666821652,58.92857142857143,0.2976022548191559,1.1482368118630093,True,True,False,1684.7398805689193,72,32,42,5,49.83442400784131,2026-06-16T195459Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p3_r2p65_lb20_sym_1hatr_sl2p15_tp2p15_fee04,research/results/runs/2026-06-16T195459Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p3_r2p65_lb20_sym_1hatr_sl2p15_tp2p15_fee04.json
phase2e_control_phase2d_1h_high_sample_1h_w2p25_r2p75_lb50_sl2p15_tp2p15_fee04,1h 2.15 w2.25/r2.75/lb50,control_1h,1h,2.15,2.25,2.75,0.5,50,169,3768.846043471739,1.2060494413166383,57.396449704142015,-18.79479621861735,0.4800190178745963,113,1553.636980145732,1.1287755459427113,56.63716814159292,56,2215.209063326007,1.3557831681340908,58.92857142857143,0.2270076221913795,1.1287755459427113,True,True,False,1718.1985756026997,72,30,46,7,49.54807281993055,2026-06-16T192856Z_ema_pullback_BTCUSDT_5m__phase2e_control_phase2d_1h_high_sample_1h_w2p25_r2p75_lb50_sl2p15_tp2p15_fee04,research/results/runs/2026-06-16T192856Z_ema_pullback_BTCUSDT_5m__phase2e_control_phase2d_1h_high_sample_1h_w2p25_r2p75_lb50_sl2p15_tp2p15_fee04.json
phase2e_focused_1h_semantic_primary_215_w2p25_r2p75_lb50_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.25/r2.75/lb50,focused_1h,1h,2.15,2.25,2.75,0.5,50,169,3768.846043471739,1.2060494413166383,57.396449704142015,-18.79479621861735,0.4800190178745963,113,1553.636980145732,1.1287755459427113,56.63716814159292,56,2215.209063326007,1.3557831681340908,58.92857142857143,0.2270076221913795,1.1287755459427113,True,True,False,1718.1985756026997,72,30,46,7,49.54807281993055,2026-06-16T195232Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p25_r2p75_lb50_sym_1hatr_sl2p15_tp2p15_fee04,research/results/runs/2026-06-16T195232Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p25_r2p75_lb50_sym_1hatr_sl2p15_tp2p15_fee04.json
phase2e_focused_1h_semantic_upper_235_w2p1_r2p75_lb50_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.1/r2.75/lb50,focused_1h,1h,2.35,2.1,2.75,0.65,50,175,4307.0975569133425,1.1955877302625562,57.14285714285714,-20.42647868946036,0.4932919725970065,117,2105.2795439829038,1.1483693035081224,56.41025641025641,58,2201.8180129304383,1.2811362934983666,58.620689655172406,0.13276698999024417,1.1483693035081224,True,True,False,1852.0294551866482,75,27,57,8,48.471015985320975,2026-06-16T201530Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p1_r2p75_lb50_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T201530Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p1_r2p75_lb50_sym_1hatr_sl2p35_tp2p35_fee04.json
