rail,current_width,recent_width,width_lookback,candidates,mean_pf,median_pf,max_pf,mean_pnl,median_pnl,max_pnl,mean_wr_pct,median_wr_pct,mean_trades,median_trades,pf_ge_1_18,both_sides_pf_gt_1,accepted,strict_symmetric,mean_gap,mean_dd_pct
2.15,2.0,2.65,35,1,1.0212088412887266,1.0212088412887266,1.0212088412887266,445.3598631587187,445.3598631587187,445.3598631587187,55.154639175257735,55.154639175257735,194.0,194.0,0,1,0,0,0.004240738117226472,-32.6822288019171
2.15,2.0,2.65,50,1,1.0042762066701867,1.0042762066701867,1.0042762066701867,99.993864835659,99.993864835659,99.993864835659,54.32692307692307,54.32692307692307,208.0,208.0,0,0,0,0,0.14784792698790683,-35.192215547084636
2.15,2.0,2.75,20,1,1.3821196973641816,1.3821196973641816,1.3821196973641816,5452.498858633169,5452.498858633169,5452.498858633169,59.333333333333336,59.333333333333336,150.0,150.0,1,1,0,0,0.6401440340466296,-17.10562261441565
2.15,2.0,2.75,35,1,1.2216747020442422,1.2216747020442422,1.2216747020442422,3852.5471365156627,3852.5471365156627,3852.5471365156627,57.48502994011976,57.48502994011976,167.0,167.0,1,1,1,1,0.14402736654122172,-17.730989797441055
2.15,2.0,2.75,50,1,1.1167189403324218,1.1167189403324218,1.1167189403324218,2338.9337771119926,2338.9337771119926,2338.9337771119926,55.61797752808989,55.61797752808989,178.0,178.0,0,1,0,0,0.18699944939635005,-24.267585820530122
2.15,2.0,2.85,20,1,1.185131786780362,1.185131786780362,1.185131786780362,2240.401687726612,2240.401687726612,2240.401687726612,55.90551181102362,55.90551181102362,127.0,127.0,1,1,0,0,0.7060521509779953,-20.536546585902148
2.15,2.0,2.85,35,1,1.1522674369690473,1.1522674369690473,1.1522674369690473,2116.649139133721,2116.649139133721,2116.649139133721,56.02836879432624,56.02836879432624,141.0,141.0,0,0,0,0,0.7049514026796238,-21.64222185125684
2.15,2.0,2.85,50,1,1.190765764126313,1.190765764126313,1.190765764126313,2848.201352535739,2848.201352535739,2848.201352535739,56.666666666666664,56.666666666666664,150.0,150.0,1,1,0,0,0.4251261405530995,-18.907787239209327
2.15,2.1,2.65,20,1,1.1311081603042428,1.1311081603042428,1.1311081603042428,2336.913607273451,2336.913607273451,2336.913607273451,57.22543352601156,57.22543352601156,173.0,173.0,0,1,0,0,0.025937297623065847,-26.48101364322394
2.15,2.1,2.65,35,1,1.0212088412887266,1.0212088412887266,1.0212088412887266,445.3598631587187,445.3598631587187,445.3598631587187,55.154639175257735,55.154639175257735,194.0,194.0,0,1,0,0,0.004240738117226472,-32.6822288019171
2.15,2.1,2.65,50,1,1.0274253408078766,1.0274253408078766,1.0274253408078766,642.3033892643845,642.3033892643845,642.3033892643845,54.85436893203883,54.85436893203883,206.0,206.0,0,0,0,0,0.10838200949058507,-33.275405281543726
2.15,2.1,2.75,20,1,1.3821196973641816,1.3821196973641816,1.3821196973641816,5452.498858633169,5452.498858633169,5452.498858633169,59.333333333333336,59.333333333333336,150.0,150.0,1,1,0,0,0.6401440340466296,-17.10562261441565
2.15,2.1,2.75,35,1,1.2216747020442422,1.2216747020442422,1.2216747020442422,3852.5471365156627,3852.5471365156627,3852.5471365156627,57.48502994011976,57.48502994011976,167.0,167.0,1,1,1,1,0.14402736654122172,-17.730989797441055
2.15,2.1,2.75,50,1,1.1505136864529806,1.1505136864529806,1.1505136864529806,3001.461041798771,3001.461041798771,3001.461041798771,56.25,56.25,176.0,176.0,0,1,0,0,0.13529155762903589,-22.027659395660727
2.15,2.1,2.85,20,1,1.185131786780362,1.185131786780362,1.185131786780362,2240.401687726612,2240.401687726612,2240.401687726612,55.90551181102362,55.90551181102362,127.0,127.0,1,1,0,0,0.7060521509779953,-20.536546585902148
2.15,2.1,2.85,35,1,1.1522674369690473,1.1522674369690473,1.1522674369690473,2116.649139133721,2116.649139133721,2116.649139133721,56.02836879432624,56.02836879432624,141.0,141.0,0,0,0,0,0.7049514026796238,-21.64222185125684
2.15,2.1,2.85,50,1,1.190765764126313,1.190765764126313,1.190765764126313,2848.201352535739,2848.201352535739,2848.201352535739,56.666666666666664,56.666666666666664,150.0,150.0,1,1,0,0,0.4251261405530995,-18.907787239209327
2.15,2.2,2.65,20,1,1.162918481942664,1.162918481942664,1.162918481942664,2848.4226040558383,2848.4226040558383,2848.4226040558383,57.55813953488372,57.55813953488372,172.0,172.0,0,1,0,0,0.05796463607488511,-23.4327939544967
2.15,2.2,2.65,35,1,1.0326847391372107,1.0326847391372107,1.0326847391372107,656.1641375875962,656.1641375875962,656.1641375875962,55.61497326203209,55.61497326203209,187.0,187.0,0,0,0,0,0.07364990317052966,-31.70824872348108
2.15,2.2,2.65,50,1,1.0415175381946022,1.0415175381946022,1.0415175381946022,899.836787132898,899.836787132898,899.836787132898,55.670103092783506,55.670103092783506,194.0,194.0,0,1,0,0,0.017097158865064355,-31.220479785104494
2.15,2.2,2.75,20,1,1.3821196973641816,1.3821196973641816,1.3821196973641816,5452.498858633169,5452.498858633169,5452.498858633169,59.333333333333336,59.333333333333336,150.0,150.0,1,1,0,0,0.6401440340466296,-17.10562261441565
2.15,2.2,2.75,35,1,1.2792601104811878,1.2792601104811878,1.2792601104811878,4678.8424455511395,4678.8424455511395,4678.8424455511395,58.282208588957054,58.282208588957054,163.0,163.0,1,1,1,1,0.18019359324319284,-15.794800100214879
2.15,2.2,2.75,50,1,1.185389535449415,1.185389535449415,1.185389535449415,3444.4520266287627,3444.4520266287627,3444.4520266287627,57.05882352941176,57.05882352941176,170.0,170.0,1,1,1,1,0.1602161235417816,-18.79479621861735
2.15,2.2,2.85,20,1,1.185131786780362,1.185131786780362,1.185131786780362,2240.401687726612,2240.401687726612,2240.401687726612,55.90551181102362,55.90551181102362,127.0,127.0,1,1,0,0,0.7060521509779953,-20.536546585902148
2.15,2.2,2.85,35,1,1.1929797197341392,1.1929797197341392,1.1929797197341392,2604.481481530349,2604.481481530349,2604.481481530349,56.52173913043478,56.52173913043478,138.0,138.0,1,0,0,0,0.8463419560033972,-18.39337779131934
2.15,2.2,2.85,50,1,1.2499677042324167,1.2499677042324167,1.2499677042324167,3610.999645927007,3610.999645927007,3610.999645927007,57.534246575342465,57.534246575342465,146.0,146.0,1,1,0,0,0.490781490835847,-16.81817535347163
2.15,2.25,2.65,20,1,1.162918481942664,1.162918481942664,1.162918481942664,2848.4226040558383,2848.4226040558383,2848.4226040558383,57.55813953488372,57.55813953488372,172.0,172.0,0,1,0,0,0.05796463607488511,-23.4327939544967
2.15,2.25,2.65,35,1,1.0422207134102757,1.0422207134102757,1.0422207134102757,841.1666835542402,841.1666835542402,841.1666835542402,55.91397849462365,55.91397849462365,186.0,186.0,0,0,0,0,0.0903124322565807,-30.522629987550374
2.15,2.25,2.65,50,1,1.0637183305842348,1.0637183305842348,1.0637183305842348,1356.6320075451117,1356.6320075451117,1356.6320075451117,56.25,56.25,192.0,192.0,0,1,0,0,0.0006078121530224134,-28.338036982520865
2.15,2.25,2.75,20,1,1.3821196973641816,1.3821196973641816,1.3821196973641816,5452.498858633169,5452.498858633169,5452.498858633169,59.333333333333336,59.333333333333336,150.0,150.0,1,1,0,0,0.6401440340466296,-17.10562261441565
2.15,2.25,2.75,35,1,1.2792601104811878,1.2792601104811878,1.2792601104811878,4678.8424455511395,4678.8424455511395,4678.8424455511395,58.282208588957054,58.282208588957054,163.0,163.0,1,1,1,1,0.18019359324319284,-15.794800100214879
2.15,2.25,2.75,50,1,1.2060494413166383,1.2060494413166383,1.2060494413166383,3768.846043471739,3768.846043471739,3768.846043471739,57.396449704142015,57.396449704142015,169.0,169.0,1,1,1,0,0.2270076221913795,-18.79479621861735
2.15,2.25,2.85,20,1,1.185131786780362,1.185131786780362,1.185131786780362,2240.401687726612,2240.401687726612,2240.401687726612,55.90551181102362,55.90551181102362,127.0,127.0,1,1,0,0,0.7060521509779953,-20.536546585902148
