candidate_id,favorite_id,run_kind,adx,profile,trades,pnl,pf,wr,dd_abs,long_trades,short_trades,long_pnl,short_pnl,long_pf,short_pf,gap,high_mfe_high,high_mfe_low,signal_exit_winners,signal_exit_giveback_failures,sl_low_mfe,sl_bad,branch,setup
phase3b_current_base_sharp_1h_2p15_2p15_adx40_runner_ema100_200_fee04,current_base_sharp_1h_2p15_2p15,managed,40.0,runner_ema100_200,185,2199.6321497142812,1.036222063201184,48.64864864864865,56.19060620055794,102,83,2467.750771999971,-268.1186222856899,1.0746619212168873,0.9903115241539406,0.08435039706294667,,,,,,,current_symmetric,base w11/r12/lb10 + 1h SL2.15/TP2.15
phase3b_current_base_sharp_1h_2p15_2p15_adx40_runner_rsi85_15_plus_ema100_200_fee04,current_base_sharp_1h_2p15_2p15,managed,40.0,runner_rsi85_15_plus_ema100_200,196,11476.387370857141,1.190853471541542,52.55102040816326,30.587833714124567,110,86,3591.655518999978,7884.731851857163,1.1019417492806138,1.3166622676943562,0.2147205184137424,,,,,,,current_symmetric,base w11/r12/lb10 + 1h SL2.15/TP2.15
phase3b_current_base_sharp_1h_2p15_2p15_adx40_runner_rsi90_10_plus_ema100_200_fee04,current_base_sharp_1h_2p15_2p15,managed,40.0,runner_rsi90_10_plus_ema100_200,192,8387.512762999997,1.1369168124904105,49.47916666666667,46.4165244240553,107,85,1582.8103509999805,6804.702412000016,1.0467547865406068,1.248288096566694,0.2015333100260872,,,,,,,current_symmetric,base w11/r12/lb10 + 1h SL2.15/TP2.15
phase3b_current_base_sharp_1h_2p15_2p15_adx45_runner_no_signal_fee04,current_base_sharp_1h_2p15_2p15,managed,45.0,runner_no_signal,62,-8595.008120714307,0.5013595506236919,40.32258064516129,86.99320673624133,40,22,-9391.37535000001,796.3672292857023,0.27080347781082353,1.1827447449775161,0.9119412671666927,,,,,,,current_symmetric,base w11/r12/lb10 + 1h SL2.15/TP2.15
phase3b_current_base_sharp_1h_2p15_2p15_adx45_runner_rsi85_15_fee04,current_base_sharp_1h_2p15_2p15,managed,45.0,runner_rsi85_15,197,19950.352874285727,1.3184668443445944,56.852791878172596,30.026690050530334,110,87,9490.039506999963,10460.313367285766,1.2612975730825746,1.3973363012102034,0.13603872812762874,,,,,,,current_symmetric,base w11/r12/lb10 + 1h SL2.15/TP2.15
phase3b_current_base_sharp_1h_2p15_2p15_adx45_runner_rsi90_10_fee04,current_base_sharp_1h_2p15_2p15,managed,45.0,runner_rsi90_10,194,33630.27357485715,1.520321939134969,55.670103092783506,18.57725381504659,109,85,10425.350136999967,23204.923437857185,1.2834549072094548,1.833090774851448,0.5496358676419932,,,,,,,current_symmetric,base w11/r12/lb10 + 1h SL2.15/TP2.15
phase3b_current_base_sharp_1h_2p15_2p15_adx45_runner_ema100_200_fee04,current_base_sharp_1h_2p15_2p15,managed,45.0,runner_ema100_200,191,17590.787991428617,1.2832695895561816,54.45026178010471,25.43336836962158,108,83,5265.49913299999,12325.288858428627,1.1451644215580121,1.4772351347589299,0.33207071320091774,,,,,,,current_symmetric,base w11/r12/lb10 + 1h SL2.15/TP2.15
phase3b_current_base_sharp_1h_2p15_2p15_adx45_runner_rsi85_15_plus_ema100_200_fee04,current_base_sharp_1h_2p15_2p15,managed,45.0,runner_rsi85_15_plus_ema100_200,197,14573.63884757147,1.2372446734021623,55.32994923857868,30.452861153442136,110,87,3982.3452519999896,10591.29359557148,1.1107934935798023,1.4155913567563543,0.304797863176552,,,,,,,current_symmetric,base w11/r12/lb10 + 1h SL2.15/TP2.15
phase3b_current_base_sharp_1h_2p15_2p15_adx45_runner_rsi90_10_plus_ema100_200_fee04,current_base_sharp_1h_2p15_2p15,managed,45.0,runner_rsi90_10_plus_ema100_200,194,18500.705789714328,1.2990778048749452,54.63917525773196,23.686394412408664,109,85,3999.21626199999,14501.489527714339,1.1115432185064666,1.5576282026569375,0.4460849841504708,,,,,,,current_symmetric,base w11/r12/lb10 + 1h SL2.15/TP2.15
phase3b_current_base_stability_1h_2p15_2p15_initial_control_fee04,current_base_stability_1h_2p15_2p15,initial,,initial_control,200,3812.0303071275575,1.2024903895381285,57.49999999999999,20.347332172614262,113,87,1838.5790631162497,1973.451244011308,1.1835503683033415,1.2240272260752558,0.04047685777191434,45.0,5.0,,,46.0,85.0,current_symmetric,base w11/r12/lb20 + 1h SL2.15/TP2.15
phase3b_current_base_stability_1h_2p15_2p15_adx40_runner_no_signal_fee04,current_base_stability_1h_2p15_2p15,managed,40.0,runner_no_signal,14,-1352.6291500000002,0.2040626167027374,21.428571428571427,15.404744129213055,10,4,-849.5702300000017,-503.05891999999835,0.2898693339282157,0.0,0.2898693339282157,,,,,,,current_symmetric,base w11/r12/lb20 + 1h SL2.15/TP2.15
phase3b_current_base_stability_1h_2p15_2p15_adx40_runner_rsi85_15_fee04,current_base_stability_1h_2p15_2p15,managed,40.0,runner_rsi85_15,199,17480.31051642855,1.2769635954921983,55.27638190954774,32.086136819038835,113,86,7748.947092999951,9731.363423428602,1.2055872150052518,1.3827879672695542,0.17720075226430243,,,,,,,current_symmetric,base w11/r12/lb20 + 1h SL2.15/TP2.15
phase3b_current_base_stability_1h_2p15_2p15_adx40_runner_rsi90_10_fee04,current_base_stability_1h_2p15_2p15,managed,40.0,runner_rsi90_10,194,30438.986416999956,1.4442720146895636,52.0618556701031,22.675915259678614,110,84,12602.542992999946,17836.44342400001,1.329011130591897,1.590415309005308,0.2614041784134109,,,,,,,current_symmetric,base w11/r12/lb20 + 1h SL2.15/TP2.15
phase3b_current_base_stability_1h_2p15_2p15_adx40_runner_ema100_200_fee04,current_base_stability_1h_2p15_2p15,managed,40.0,runner_ema100_200,188,1274.3771987142745,1.0205695053671093,47.87234042553192,55.08282302171554,105,83,1542.4958209999645,-268.1186222856899,1.0449960285318292,0.9903115241539406,0.05468450437788852,,,,,,,current_symmetric,base w11/r12/lb20 + 1h SL2.15/TP2.15
