candidate_id,setup_label,group,width_atr_timeframe,rail,current_width,recent_width,recent_delta,width_lookback,trades,pnl,profit_factor,win_rate_pct,sharpe,max_drawdown_pct,long_trades,long_pnl,long_profit_factor,long_win_rate_pct,short_trades,short_pnl,short_profit_factor,short_win_rate_pct,pf_symmetry_gap,min_side_pf,both_sides_pf_gt_1,main_acceptance,fees_paid,stop_loss_after_bad_context,stop_loss_after_low_mfe,high_mfe_high_capture_count,high_mfe_low_capture_count,bounce_score
phase2d_broad_1h_semantic_upper_235_w1p75_r2p25_lb10_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w1.75/r2.25/lb10,broad_1h_width_main,1h,2.35,1.75,2.25,0.5,10,302,972.3359482281439,1.0257725000314712,54.63576158940398,0.17418967550060008,-30.483023497066476,198,1485.179939173566,1.0656566941620844,56.060606060606055,104,-512.8439909454221,0.9660531539241576,51.92307692307693,0.09960354023792684,0.9660531539241576,False,False,2899.595570572904,137,44,86,13,0.0
phase2d_broad_1h_semantic_upper_235_w2_r2p25_lb20_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2/r2.25/lb20,broad_1h_width_main,1h,2.35,2.0,2.25,0.25,20,322,939.4098475119666,1.0235829107410388,54.6583850931677,0.1717278749400648,-31.912505782964995,208,1831.0075046966288,1.0783352800054025,56.25,114,-891.5976571846621,0.9458336605832209,51.75438596491229,0.13250161942218153,0.9458336605832209,False,False,3078.2431875649745,146,49,90,14,0.0
phase2d_broad_1h_semantic_upper_235_w2_r2p5_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2/r2.5/lb35,broad_1h_width_main,1h,2.35,2.0,2.5,0.5,35,242,594.2945998666147,1.0190202140636677,54.54545454545454,0.13964260388203262,-30.18270598161853,155,594.6345769375246,1.0315505706289498,54.83870967741935,87,-0.3399770709098249,0.9999725789348283,54.02298850574713,0.031577991694121565,0.9999725789348283,False,False,2301.6406296472264,110,37,75,12,0.0
phase2d_broad_1h_semantic_upper_235_w1p75_r2p25_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w1.75/r2.25/lb35,broad_1h_width_main,1h,2.35,1.75,2.25,0.5,35,348,842.6354046987539,1.018461493013926,54.310344827586206,0.16488590722729587,-37.52074746080051,224,925.929656664201,1.0345555205110437,55.35714285714286,124,-83.29425196544717,0.9955806076025995,52.41935483870967,0.03897491290844424,0.9955806076025995,False,False,3497.635004894313,159,54,97,14,0.0
phase2d_broad_1h_semantic_upper_235_w1p75_r2_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w1.75/r2/lb35,broad_1h_width_main,1h,2.35,1.75,2.0,0.25,35,460,785.587348245688,1.0147584768738698,53.69565217391305,0.16502572623622946,-29.38528375396198,293,1578.6300534072816,1.0522181813397689,55.972696245733786,167,-793.0427051615936,0.9655170976643627,49.700598802395206,0.08670108367540619,0.9655170976643627,False,False,4126.53607384437,213,76,131,20,0.0
phase2d_broad_1h_semantic_primary_215_w2p75_r3p5_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.75/r3.5/lb35,broad_1h_width_main,1h,2.15,2.75,3.5,0.75,35,50,63.52852241847733,1.0142134861025334,54.0,0.04686800458952527,-16.027079771615693,35,-80.04931668776557,0.976667100423747,57.14285714285714,15,143.5778391062429,1.1382089810972411,46.666666666666664,0.16154188067349406,0.976667100423747,False,False,423.57895141791954,23,9,12,2,0.0
phase2d_broad_1h_semantic_primary_215_w2_r2p5_lb50_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2/r2.5/lb50,broad_1h_width_main,1h,2.15,2.0,2.5,0.5,50,256,372.736844551207,1.0120467137504636,53.515625,0.11875654023172698,-33.986851029999634,162,-621.5443272558642,0.9669834751915503,53.086419753086425,94,994.2811718070712,1.0820654715106708,54.25531914893617,0.11508199631912053,0.9669834751915503,False,False,2489.1628698158647,119,44,65,11,0.0
phase2d_broad_1h_semantic_upper_235_w2_r2p25_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2/r2.25/lb35,broad_1h_width_main,1h,2.35,2.0,2.25,0.25,35,333,424.55563264806335,1.009909090059413,54.054054054054056,0.13043606276508748,-37.46877853931594,216,1622.4395657122532,1.064810954001157,55.55555555555556,117,-1197.8839330641897,0.9327471725821291,51.28205128205128,0.13206378141902786,0.9327471725821291,False,False,3274.495898726475,153,51,93,14,0.0
phase2d_broad_1h_semantic_upper_235_w1p75_r2_lb20_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w1.75/r2/lb20,broad_1h_width_main,1h,2.35,1.75,2.0,0.25,20,443,473.6732248389181,1.009337083746482,53.72460496613996,0.14103635908062392,-33.16490763965504,284,1212.4482547185519,1.041018576829817,55.633802816901415,159,-738.7750298796337,0.9651057082290114,50.314465408805034,0.0759128686008056,0.9651057082290114,False,False,3939.500754559353,205,74,125,19,0.0
phase2d_broad_1h_semantic_upper_235_w1p75_r2p25_lb20_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w1.75/r2.25/lb20,broad_1h_width_main,1h,2.35,1.75,2.25,0.5,20,329,279.70271838596295,1.0069394289195606,54.40729483282675,0.11807855373330964,-36.55203899378233,213,1177.121957691949,1.049077581009957,55.86854460093896,116,-897.4192393059861,0.9450157253841207,51.724137931034484,0.10406185562583636,0.9450157253841207,False,False,3091.766111141371,150,50,90,14,0.0
