rail,current_width,recent_width,candidates,mean_pf,median_pf,max_pf,mean_pnl,median_pnl,max_pnl,mean_wr_pct,median_wr_pct,mean_trades,median_trades,pf_ge_1_18,both_sides_pf_gt_1,main_acceptance,mean_gap,mean_dd_pct
2.35,2.0,2.75,4,1.2982233693308591,1.2994862131559644,1.4347975311390617,4975.443793356421,4786.073849866405,6816.125646186411,58.08869034936769,58.063021316033364,155.5,157.5,3,4,1,0.3478615563937126,-18.897358420046668
2.35,2.25,2.5,4,1.150888347776412,1.1401751786617462,1.2053775288880875,4206.735101361184,4071.7119066933155,5392.502649477589,58.003871310455786,57.73908590449366,214.75,216.5,1,3,0,0.18729990621727527,-18.678882141807676
2.35,2.25,2.75,4,1.3397548879350625,1.3320827051467978,1.4347975311390617,5653.7233017071585,5779.497033048384,6816.125646186411,58.75411097726534,58.79629629629629,152.25,155.5,4,4,2,0.3729658877417416,-17.94142026728802
2.35,2.25,3.0,4,1.3300530578131837,1.3473433201473863,1.4178049000521173,3235.9416285869866,3513.8476776282573,4390.051586520271,57.67154440827714,57.672634271099746,96.0,97.0,4,4,0,0.6873183684905331,-16.050989154162668
2.35,2.5,2.75,4,1.3941700901368475,1.410132192662426,1.444209354566079,5487.329314862318,5869.870567663864,6315.487401761277,59.49646422918626,59.71722621902478,137.75,140.0,4,4,0,0.6630585925327056,-21.424348678967572
2.35,2.5,3.0,4,1.2862872563560517,1.3145329402303032,1.3812535971940008,2599.596003714061,2928.86328283256,3592.9693306038853,57.40064348450424,57.62626262626263,93.0,94.5,3,4,0,0.7175487139997458,-18.726203796462134
2.35,2.5,3.25,4,1.0406945063603512,1.063318146972224,1.109485217954324,298.04867072039053,419.6604266145255,723.5904918643462,56.14998067864122,56.07390771743569,67.75,67.0,0,1,0,0.2836172573106729,-16.030839514371
2.35,2.75,3.0,4,1.1710646107113312,1.1632740371953092,1.2638420240666892,1355.7331531007317,1318.9967430595084,2136.500613805706,55.699015037250334,55.42483660130719,85.25,86.5,1,1,0,0.7270586715048655,-18.951249123254662
2.35,2.75,3.25,4,1.0255611643872908,1.041922754131966,1.091742635742598,182.23082211547728,257.2912318795102,585.0574869147237,56.11696393676372,56.082949308755765,66.0,66.0,0,3,0,0.15940002405499784,-16.030839514371
2.35,2.75,3.5,4,1.1139464951547127,1.107345301359921,1.2864062549158028,548.1386048938953,534.5925198712968,1287.1140936550476,56.76513098464318,56.752484191508586,47.5,47.5,2,2,0,0.29702011143027973,-12.64436759425736
2.35,3.0,3.25,4,0.9075513263547716,0.8982498198858513,0.9612607120738538,-459.1887057510981,-505.9814962242651,-183.462707184154,54.60879131839481,54.311626523936965,57.25,57.5,0,0,0,0.17063894648060915,-14.111161289183201
2.35,3.0,3.5,4,1.0573007722701135,1.0566285434192326,1.0827301197238277,209.42690758889623,210.59822676064368,307.2534873892549,55.77472859758857,55.684754521963825,43.5,44.0,0,0,0,0.4312846107304107,-12.644367594257371
2.35,3.0,3.75,4,1.6461992245622357,1.6039630642400537,1.9033783851054433,876.427916326678,883.9921701520786,1182.5046180390843,63.31018518518518,62.73148148148148,22.5,22.5,4,0,0,1.7904743829252916,-6.899357624528174
2.35,3.25,3.5,4,1.2388080336990626,1.231838393619938,1.2597169539364363,682.7555166679327,671.7768621863197,715.6914801127717,58.00438596491229,57.89473684210527,37.5,38.0,4,0,0,0.9258445550210236,-12.644367594257265
2.35,3.25,3.75,4,1.7625928954452306,1.7434974664083756,2.0587687522580644,948.5488531463463,904.6056818500755,1429.7613419217644,64.10353535353535,64.31818181818181,21.0,21.0,4,0,0,2.150270157392206,-6.815087563009412
2.35,3.25,4.0,4,1.6328507925594087,1.6650083348855742,2.208621669777759,495.7235576124816,517.3956090910979,953.5248153430272,61.759074259074254,62.91208791208791,13.25,13.5,3,0,0,3.3574517277842046,-6.340517686629268
2.45,2.25,2.5,2,1.1514902887761846,1.1514902887761846,1.1615391409287117,4328.728729389164,4328.728729389164,4658.165525910597,58.93526295387001,58.93526295387001,215.5,215.5,0,0,0,0.3225260116226891,-20.853787007852624
2.45,2.25,2.75,2,1.4679372180711074,1.4679372180711074,1.5227491926291474,8165.276633829926,8165.276633829926,8439.309620732201,60.78382633192477,60.78382633192477,155.5,155.5,2,2,1,0.27582161146641915,-17.710169387405028
2.45,2.5,2.75,2,1.4612133411764021,1.4612133411764021,1.4874132955808343,6760.620218981048,6760.620218981048,7159.209086672405,60.71228123883871,60.71228123883871,140.0,140.0,2,2,0,0.5785199197854074,-22.00851718589024
2.45,2.5,3.0,2,1.379566164648974,1.379566164648974,1.4338130265157407,3546.1694380908993,3546.1694380908993,4247.011989474579,58.68686868686868,58.68686868686868,94.5,94.5,2,2,0,0.8124879683323362,-20.089335386053683
2.45,2.75,3.0,2,1.2690672747324774,1.2690672747324774,1.317583624608176,2209.2402538084502,2209.2402538084502,2655.2841123549015,57.21256684491979,57.21256684491979,86.5,86.5,2,2,0,0.8055981488093051,-20.089335386054042
2.45,2.75,3.25,2,1.1263316268852268,1.1263316268852268,1.1481881827769214,783.6043813469546,783.6043813469546,968.6686183539376,57.6036866359447,57.6036866359447,66.0,66.0,0,1,0,0.18470827264454281,-15.448099936648541
