profile,rail,trades,pnl,pf,dd,long_pf,short_pf,long_pnl,short_pnl
relaxed,3.0,339,10726.986753154315,1.177531449140353,-0.2284663154476494,1.1339566519822195,1.2228686577388819,4127.253080882885,6599.733672271429
relaxed,3.25,325,13089.927844014372,1.1962598636876982,-0.2516654817514663,1.107052908668762,1.2910539264237162,3678.4524220063545,9411.475422008016
relaxed,3.5,313,8380.53741005918,1.1439612497887397,-0.30229186963517385,1.0311613402427475,1.2672537498906535,947.320691977639,7433.216718081541
relaxed,3.75,307,15638.767224540697,1.2364607668467713,-0.3251983265753772,1.0642195512596417,1.4347158819031876,2272.7474454122384,13366.019779128459
relaxed,4.0,305,15013.472710152528,1.2400561490956092,-0.3042412977002885,1.0484622446409968,1.4730861783729692,1663.3332529541328,13350.139457198395
strict,0.75,143,-53.66996744425812,0.9868138366925427,-0.09053968183345906,0.8328333972141496,1.228851834386299,-415.84410027787777,362.17413283361964
strict,0.8,143,-305.1183115029389,0.9313987543388226,-0.10080695798010697,0.7668564569704498,1.196951222230331,-640.244487451242,335.12617594830306
strict,0.85,142,-117.15231450591973,0.9747245777349706,-0.09278898310163197,0.8524425662348881,1.1613895823149463,-413.2305745960483,296.0782600901286
strict,0.9,142,23.410172388076372,1.0048692912215316,-0.10044103251811565,0.907950633285316,1.1467139505925152,-262.90875689694366,286.31892928502
strict,0.95,142,-142.1352806398973,0.9720679596552251,-0.10363295178589693,0.8784127821100166,1.1089150873150542,-367.32252846499256,225.18724782509528
strict,1.0,142,-71.69574208439091,0.9864662301299899,-0.09628842284545303,0.8941863462903048,1.121009185695357,-332.49909580094004,260.8033537165491
strict,1.05,142,-463.87619403192787,0.9182520168916404,-0.12028806187986862,0.8124505558851095,1.0773155520704882,-639.126585991344,175.25039195941608
strict,1.1,141,-868.8596159537105,0.8575118834000859,-0.13262168540634234,0.7146692960817386,1.0869000368943604,-1072.2059737974507,203.34635784374012
strict,1.15,141,-1003.3905995558342,0.8424636347142848,-0.14856479584586046,0.7476809469115944,0.984082509600634,-962.7422908263951,-40.648308729439194
strict,1.2,140,-778.8477241167753,0.8813708919315923,-0.1360319218228575,0.8059280490502331,0.9895838173404368,-750.7556795130439,-28.09204460373138
strict,1.25,140,-801.3628913176251,0.8830839748527516,-0.14179252340448967,0.7429087018220227,1.1047997128962574,-1079.5960546018994,278.2331632842742
strict,1.3,140,-1476.1527013732418,0.7941120238710933,-0.2081119551234778,0.7415547196458981,0.868361339973522,-1084.9742640762697,-391.17843729697216
strict,1.35,140,-1726.2945803167904,0.7651592332731079,-0.23459638378176184,0.704203693109582,0.8530741508790075,-1284.0685656298435,-442.22601468694677
strict,1.4,140,-1748.8968502959096,0.7693564706558743,-0.23990510800675302,0.7081725660427411,0.8576753133088064,-1307.2336929254657,-441.66315737044414
strict,1.45,140,-1728.6157878205283,0.7783138964041071,-0.2412436385076474,0.7331516959654624,0.8417767416544794,-1215.6652959335158,-512.9504918870125
strict,1.5,140,-1546.738268346067,0.8045977064126615,-0.24840170032456954,0.8528433618178135,0.7449291696194766,-644.0711636043677,-902.6671047416992
strict,1.55,140,-2104.674916285091,0.7477560197141525,-0.2781449258793909,0.7278413826467306,0.7748336785448677,-1308.491038015516,-796.183878269575
strict,1.6,140,-1595.5311604035396,0.8149803900035115,-0.234687123002698,0.7336570274063999,0.9347538347254327,-1367.993822283467,-227.5373381200728
strict,1.65,140,-717.3281973448709,0.9188588146116963,-0.17488307640055722,0.8785110229090226,0.9741307403361823,-620.8269628678405,-96.5012344770303
strict,1.7,140,-475.16180914383426,0.9476357190754794,-0.1577263806849878,0.8868034221414978,1.0331562969273962,-600.2180474036703,125.056238259836
strict,1.75,140,-458.0473216503286,0.9508977482000982,-0.16055017260184423,0.8900905065240301,1.0363990831311496,-599.1661303099346,141.11880865960603
strict,1.8,140,-524.9319286752657,0.9457207837459557,-0.20484310544665085,0.8470789721221431,1.0918094611360263,-882.805659823393,357.87373114812726
strict,1.85,140,202.98155078492658,1.0204543045590249,-0.17830163784102593,0.9224812962364751,1.163547399451146,-456.62625547513215,659.6078062600587
strict,1.9,140,877.2154825894478,1.0855204155089024,-0.18139820857700162,0.9306462771064585,1.3281927919980108,-434.2488305002022,1311.46431308965
strict,1.95,140,931.6851136250339,1.0883955328207968,-0.18448900163660842,0.9334633763570684,1.331072643156128,-428.02773885978297,1359.712852484817
strict,2.0,140,545.9379568073118,1.0514871081124515,-0.1875740020967921,0.9361356299633267,1.2230676381926118,-404.941633573322,950.8795903806339
strict,2.05,140,587.3351284169258,1.0540260226164473,-0.19065319516428614,0.9386728691142001,1.2255613340465097,-398.63559625565176,985.9707246725776
strict,2.1,140,470.79634852456496,1.0424766069367852,-0.19372656617543105,0.9398949777404522,1.1924888180781144,-395.6378992098686,866.4342477344336
strict,2.15,140,1303.1157765509624,1.114417875217304,-0.11775891328460808,0.9547294331600776,1.3629690178146279,-313.9104020163505,1617.0261785673129
strict,2.2,139,793.7272917207937,1.0681168590839665,-0.15330806198311442,0.8972629714358328,1.3415638865944135,-736.783173346261,1530.5104650670546
strict,2.25,139,1308.651657717234,1.1087359181883938,-0.15616655296349236,0.9611994816694924,1.3350532078954702,-282.686182327839,1591.3378400450729
strict,2.3,139,1364.1047040177477,1.1107575193229469,-0.1590185697859431,0.9634135852644925,1.3366494257345145,-272.7166600331098,1636.8213640508575
strict,2.35,139,1419.5223215270246,1.1126768786912062,-0.16186411492958486,0.9655358333730962,1.3381274389315279,-262.72019166598284,1682.2425131930074
strict,2.4,139,869.1997378737419,1.0675747327865992,-0.20414345220407504,0.952752528622023,1.2365673758788387,-361.8649400341727,1231.0646779079145
strict,2.45,139,1186.3597918272174,1.091501512268803,-0.18866936311939042,0.9840611039527268,1.2482357475047074,-122.60808930834247,1308.9678811355598
strict,2.5,138,1573.696760896077,1.1192096785373566,-0.16087871878449245,0.9894862946022632,1.3182926675655595,-84.03481798790338,1657.7315788839805
strict,3.0,138,5595.16267343076,1.3098652799894501,-0.1406269046105666,1.198072682810689,1.4730753453336827,2122.6306201854572,3472.5320532453024
strict,3.25,135,5830.981434325183,1.3071967960093587,-0.14560990006956864,1.2268230765825994,1.4222782276746608,2534.955554825635,3296.0258794995475
strict,3.5,134,5498.910981568094,1.2725062341806672,-0.2013696915297034,1.167196751613899,1.4256302942426464,1999.0453078500273,3499.865673718067
strict,3.75,131,8510.908523014381,1.377237950549908,-0.21135795620514564,1.2582690290553868,1.554761828381453,3488.7954021179967,5022.113120896384
strict,4.0,131,9540.245422508398,1.4040790318368375,-0.2212907009462094,1.3024763715974348,1.5557396166029425,4276.468190163343,5263.777232345056
