candidate_id,rail,current_width,recent_width,lookback,trades,pnl,profit_factor,win_rate_pct,max_drawdown_pct,long_profit_factor,short_profit_factor,long_pnl,short_pnl,bad_context_stops,low_mfe_stops
phase2a_semantic_upper_235_w9_r10_lb10_sym_1hatr_sl2p35_tp2p35_fee04,2.35,9,10,10,348,4061.551249746445,1.1101302647147187,55.74712643678161,-21.937931634377094,1.0896982046147878,1.1317948435365828,1702.440071367788,2359.111178378657,154,61
phase2a_semantic_upper_235_w9_r10_lb20_sym_1hatr_sl2p35_tp2p35_fee04,2.35,9,10,20,350,3878.0095235021276,1.101670821652316,55.714285714285715,-21.937931634376906,1.105136083781326,1.0981360375010747,2025.0060340587809,1853.0034894433468,155,61
phase2a_semantic_upper_235_w9_r10_lb35_sym_1hatr_sl2p35_tp2p35_fee04,2.35,9,10,35,352,3692.0185806337645,1.097327393625211,55.68181818181818,-21.93793163437634,1.095403897494127,1.099309208313499,1836.548238862278,1855.4703417714866,156,62
phase2a_semantic_upper_235_w9_r12_lb10_sym_1hatr_sl2p35_tp2p35_fee04,2.35,9,12,10,283,1988.5959388304882,1.069074359653854,55.12367491166078,-25.686609479822387,1.0427976755339592,1.104104310995801,704.0150025638721,1284.5809362666162,127,53
phase2a_semantic_upper_235_w9_r12_lb20_sym_1hatr_sl2p35_tp2p35_fee04,2.35,9,12,20,299,4274.044409972947,1.1280592927828055,55.51839464882943,-19.714788508318705,1.0655707339000957,1.21050478568671,1244.8999834259248,3029.1444265470222,133,55
phase2a_semantic_upper_235_w9_r12_lb35_sym_1hatr_sl2p35_tp2p35_fee04,2.35,9,12,35,318,3938.1608588339964,1.1162818648339043,55.9748427672956,-19.714788508318705,1.1031253970111132,1.1322022089945116,1912.2856261173574,2025.8752327166392,140,58
phase2a_semantic_upper_235_w9_r14_lb10_sym_1hatr_sl2p35_tp2p35_fee04,2.35,9,14,10,209,-460.76125027385314,0.9750868546298492,53.110047846889955,-25.874184871999905,1.0458780909243204,0.8851156221814642,474.86671169160593,-935.627961965459,98,46
phase2a_semantic_upper_235_w9_r14_lb20_sym_1hatr_sl2p35_tp2p35_fee04,2.35,9,14,20,235,-601.3686701138923,0.9717731952062418,53.191489361702125,-26.337274716334058,0.9971890613652882,0.9350913115780725,-35.375795048049426,-565.9928750658429,110,49
phase2a_semantic_upper_235_w9_r14_lb35_sym_1hatr_sl2p35_tp2p35_fee04,2.35,9,14,35,256,-423.9418288777569,0.9812744021782099,53.515625,-25.706461343913347,1.053338293167386,0.8794427145255761,707.1378647816501,-1131.079693659407,119,52
phase2a_semantic_upper_235_w11_r8_lb10_sym_1hatr_sl2p35_tp2p35_fee04,2.35,11,8,10,203,3934.3138007704406,1.1871471309203296,56.65024630541872,-25.02150440364821,1.160238276367567,1.217452691256743,1784.30439381677,2150.009406953671,88,45
