rail,current_width,recent_width,width_lookback,candidates,mean_pf,median_pf,mean_pnl,median_pnl,mean_wr_pct,median_wr_pct,mean_trades,pf_ge_1_15,both_sides_pf_gt_1,mean_pf_symmetry_gap
2.15,12,13,35,1,1.068039638908391,1.068039638908391,780.1097748285857,780.1097748285857,54.54545454545454,54.54545454545454,143.0,0,0,0.2701759998891142
2.35,10,11,10,1,1.1326362637991143,1.1326362637991143,3583.314868170488,3583.314868170488,55.59701492537313,55.59701492537313,268.0,0,0,0.4364454345319416
2.35,10,11,20,1,1.1400554737526365,1.1400554737526365,3993.18801335664,3993.18801335664,55.71955719557196,55.71955719557196,271.0,0,0,0.40619006388138634
2.35,10,11,35,1,1.1285036447942662,1.1285036447942662,3675.8937870354216,3675.8937870354216,55.5956678700361,55.5956678700361,277.0,0,0,0.3330984535170587
2.35,10,12,10,1,1.0795611980766144,1.0795611980766144,1957.6523365311705,1957.6523365311705,54.73251028806584,54.73251028806584,243.0,0,0,0.289208637249458
2.35,10,12,20,1,1.0980877936518028,1.0980877936518028,2603.277031865927,2603.277031865927,54.9407114624506,54.9407114624506,253.0,0,0,0.26748492931320933
2.35,10,12,35,1,1.0912504153417653,1.0912504153417653,2409.120994078699,2409.120994078699,55.0561797752809,55.0561797752809,267.0,0,0,0.24414999967979367
2.35,10,13,10,1,1.018414536161126,1.018414536161126,358.97463892707344,358.97463892707344,54.20560747663551,54.20560747663551,214.0,0,0,0.1126854088943221
2.35,10,13,20,1,1.0221774364743903,1.0221774364743903,491.4015691366012,491.4015691366012,53.879310344827594,53.879310344827594,232.0,0,0,0.06788408733544271
2.35,10,13,35,1,0.9973367210457378,0.9973367210457378,-59.998329273787476,-59.998329273787476,53.46938775510204,53.46938775510204,245.0,0,0,0.02140991704177997
2.35,11,11,10,1,1.1871471309203296,1.1871471309203296,3934.3138007704406,3934.3138007704406,56.65024630541872,56.65024630541872,203.0,1,1,0.057214414889176
2.35,11,11,20,1,1.1871471309203296,1.1871471309203296,3934.3138007704406,3934.3138007704406,56.65024630541872,56.65024630541872,203.0,1,1,0.057214414889176
2.35,11,11,35,1,1.1871471309203296,1.1871471309203296,3934.3138007704406,3934.3138007704406,56.65024630541872,56.65024630541872,203.0,1,1,0.057214414889176
2.35,11,12,10,1,1.205158874575288,1.205158874575288,4311.636866549699,4311.636866549699,57.14285714285714,57.14285714285714,196.0,1,1,0.034913295477855044
2.35,11,12,20,1,1.1902674487678315,1.1902674487678315,4008.6450152880157,4008.6450152880157,56.78391959798995,56.78391959798995,199.0,1,1,0.0014824774103443517
2.35,11,12,35,1,1.1674329668816792,1.1674329668816792,3510.9644232527185,3510.9644232527185,56.43564356435643,56.43564356435643,202.0,1,1,0.010324499738418647
2.35,11,13,10,1,1.1019155638910285,1.1019155638910285,1810.4384193092194,1810.4384193092194,55.67567567567567,55.67567567567567,185.0,0,1,0.19968026322589538
2.35,11,13,20,1,1.1667994467875111,1.1667994467875111,3316.222203296565,3316.222203296565,56.25,56.25,192.0,1,1,0.09317056061268691
2.35,11,13,35,1,1.1684218969442126,1.1684218969442126,3410.825088636759,3410.825088636759,56.34517766497462,56.34517766497462,197.0,1,1,0.1286992398409259
2.35,12,11,10,1,1.05146476827649,1.05146476827649,668.2989889132914,668.2989889132914,53.47222222222222,53.47222222222222,144.0,0,0,0.3050849105590525
2.35,12,11,20,1,1.05146476827649,1.05146476827649,668.2989889132914,668.2989889132914,53.47222222222222,53.47222222222222,144.0,0,0,0.3050849105590525
2.35,12,11,35,1,1.05146476827649,1.05146476827649,668.2989889132914,668.2989889132914,53.47222222222222,53.47222222222222,144.0,0,0,0.3050849105590525
2.35,12,12,10,1,1.05146476827649,1.05146476827649,668.2989889132914,668.2989889132914,53.47222222222222,53.47222222222222,144.0,0,0,0.3050849105590525
2.35,12,12,20,1,1.05146476827649,1.05146476827649,668.2989889132914,668.2989889132914,53.47222222222222,53.47222222222222,144.0,0,0,0.3050849105590525
2.35,12,12,35,1,1.05146476827649,1.05146476827649,668.2989889132914,668.2989889132914,53.47222222222222,53.47222222222222,144.0,0,0,0.3050849105590525
2.35,12,13,10,1,1.075527410079152,1.075527410079152,933.1956590432934,933.1956590432934,53.90070921985816,53.90070921985816,141.0,0,1,0.1678970201283123
2.35,12,13,20,1,1.0514331674328694,1.0514331674328694,650.056639147308,650.056639147308,53.52112676056338,53.52112676056338,142.0,0,0,0.20835077471311403
2.35,12,13,35,1,1.0514329770698851,1.0514329770698851,650.0541751527347,650.0541751527347,53.52112676056338,53.52112676056338,142.0,0,0,0.20835046613142838
