candidate_id,setup_label,rail,current_width,recent_width,width_lookback,recent_is_non_redundant,trades,pnl,profit_factor,win_rate_pct,max_drawdown_pct,long_profit_factor,short_profit_factor,pf_symmetry_gap,long_pnl,short_pnl,fees_paid,stop_loss_after_bad_context,high_mfe_high_capture_count,high_mfe_low_capture_count,stability_score
phase2b_corrected_semantic_upper_235_w11_r11_lb35_sym_1hatr_sl2p35_tp2p35_fee04,2.35 w11/r11/lb35,2.35,11,11,35,False,203,3934.3138007704406,1.1871471309203296,56.65024630541872,-25.02150440364821,1.160238276367567,1.217452691256743,0.057214414889176,1784.30439381677,2150.009406953671,1924.2298602443382,88,55,5,75.05249046010518
phase2b_corrected_transition_245_w11_r12_lb20_sym_1hatr_sl2p45_tp2p45_fee04,2.45 w11/r12/lb20,2.45,11,12,20,True,199,3862.498045430622,1.1776587626783621,56.78391959798995,-25.76748461297904,1.2064482137559542,1.146450216373657,0.059997997382297275,2334.6917793978805,1527.8062660327419,1902.5430256656407,86,55,6,74.06944106739772
phase2b_corrected_semantic_primary_215_w11_r12_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15 w11/r12/lb20,2.15,11,12,20,True,200,3812.0303071275575,1.2024903895381285,57.49999999999999,-20.347332172614262,1.1835503683033415,1.2240272260752558,0.04047685777191434,1838.5790631162497,1973.451244011308,1912.1041216119995,85,45,5,85.3852779492268
phase2b_corrected_transition_245_w11_r11_lb35_sym_1hatr_sl2p45_tp2p45_fee04,2.45 w11/r11/lb35,2.45,11,11,35,False,203,3787.3408094067404,1.1747740088445884,56.65024630541872,-25.83494815114825,1.1756972106289194,1.1737628029798517,0.0019344076490677153,1990.2791125489543,1797.0616968577858,1891.5329964940865,88,56,6,85.44732322685434
phase2b_corrected_transition_245_w11_r11_lb10_sym_1hatr_sl2p45_tp2p45_fee04,2.45 w11/r11/lb10,2.45,11,11,10,False,203,3787.3408094067404,1.1747740088445884,56.65024630541872,-25.83494815114825,1.1756972106289194,1.1737628029798517,0.0019344076490677153,1990.2791125489543,1797.0616968577858,1891.5329964940865,88,56,6,85.44732322685434
phase2b_corrected_transition_245_w11_r11_lb20_sym_1hatr_sl2p45_tp2p45_fee04,2.45 w11/r11/lb20,2.45,11,11,20,False,203,3787.3408094067404,1.1747740088445884,56.65024630541872,-25.83494815114825,1.1756972106289194,1.1737628029798517,0.0019344076490677153,1990.2791125489543,1797.0616968577858,1891.5329964940865,88,56,6,85.44732322685434
phase2b_corrected_semantic_upper_235_w10_r11_lb35_sym_1hatr_sl2p35_tp2p35_fee04,2.35 w10/r11/lb35,2.35,10,11,35,True,277,3675.8937870354216,1.1285036447942662,55.5956678700361,-22.46336861941035,0.9853792536550157,1.3184777071720744,0.3330984535170587,-238.52765810459314,3914.421445140015,2486.1948644595013,123,76,11,0.0
phase2b_corrected_semantic_primary_215_w10_r11_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15 w10/r11/lb20,2.15,10,11,20,True,273,3674.2455777385057,1.1444885235691418,56.043956043956044,-22.212872488149095,1.0124491977325285,1.3214827433123602,0.30903354557983165,181.31329508263832,3492.9322826558673,2437.4938394625515,120,66,11,55.901162761661446
phase2b_corrected_semantic_upper_235_w10_r11_lb10_sym_1hatr_sl2p35_tp2p35_fee04,2.35 w10/r11/lb10,2.35,10,11,10,True,268,3583.314868170488,1.1326362637991143,55.59701492537313,-21.639836462847263,0.9543952447190621,1.3908406792510037,0.4364454345319416,-728.8976182982736,4312.212486468761,2351.163283878826,119,73,11,0.0
phase2b_corrected_semantic_primary_215_w11_r11_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15 w11/r11/lb20,2.15,11,11,20,False,204,3567.6542934604167,1.1897076702501066,56.86274509803921,-20.926434911146462,1.1510864526731839,1.2337399914085685,0.08265353873538461,1513.6780949467386,2053.9761985136784,1894.2460596707347,88,46,5,71.54777192135653
